index,Pb,morph,DMSO,GBL,FAH,H2O,score
795293,2.32,2.91,0,0,0,0,3
134470,0.122105263,0.153157895,0.947368421,0,0,0,1
100214,0.122105263,0.153157895,0,0.947368421,0,0,1
306918,0.366315789,0.459473684,0,0,15.74728261,13.00548697,4
793463,0.122105263,2.297368421,0,0,0,0,1
129323,0.122105263,0.153157895,0.368421053,0.368421053,0,11.63648834,1
774344,1.343157895,1.684736842,0.157894737,0,0,13.00548697,4
730284,1.098947368,1.378421053,0,0.526315789,0,0,1
755293,1.221052632,1.531578947,0,0,12.43206522,0,4
131312,0.122105263,0.153157895,0.473684211,0,12.43206522,0,4
99371,0.122105263,0.153157895,0,0.473684211,12.43206522,0,4
651484,0.854736842,1.072105263,0.473684211,0.105263158,0,0,1
92208,0.122105263,0.153157895,0,0,0.828804348,1.368998628,1
701323,0.122105263,1.378421053,0,0.052631579,3.315217391,13.00548697,3
525860,0.122105263,0.918947368,0,0,14.08967391,0,3
363078,0.122105263,0.612631579,0.157894737,0.473684211,0,0,1
788381,1.343157895,1.991052632,0,0.052631579,0,0,1
127807,0.122105263,0.153157895,0.368421053,0,8.288043478,13.00548697,4
98577,0.122105263,0.153157895,0,0.368421053,8.288043478,13.00548697,4
581148,0.732631579,0.918947368,0,0.421052632,0,11.63648834,4
134242,0.122105263,0.153157895,0.736842105,0,0,11.63648834,1
133585,0.122105263,0.153157895,0.578947368,0.315789474,0.828804348,0,1
100093,0.122105263,0.153157895,0,0.736842105,0,11.63648834,4
511373,0.610526316,0.765789474,0.157894737,0.210526316,7.45923913,4.791495199,4
534077,0.122105263,0.918947368,0.368421053,0,0,7.529492455,1
692069,0.976842105,1.225263158,0,0,9.116847826,12.32098765,4
632961,0.732631579,1.072105263,0,0,0,5.475994513,1
107103,0.122105263,0.153157895,0.105263158,0,0,13.00548697,1
703187,0.122105263,1.378421053,0.210526316,0,4.972826087,0,1
735566,0.122105263,1.531578947,0,0.263157895,0,4.791495199,1
333233,0.366315789,0.459473684,0.631578947,0,4.144021739,2.737997257,1
127182,0.122105263,0.153157895,0.315789474,0.315789474,8.288043478,0,4
97655,0.122105263,0.153157895,0,0.315789474,0,7.529492455,1
784905,1.465263158,1.837894737,0.368421053,0,0,0,1
115650,0.122105263,0.153157895,0.157894737,0.157894737,14.08967391,5.475994513,4
589292,0.732631579,0.918947368,0.263157895,0.157894737,0,13.00548697,4
794970,1.831578947,2.450526316,0,0,0,7.529492455,4
728409,0.976842105,1.378421053,0.263157895,0,6.630434783,0,3
256010,0.122105263,0.459473684,0,0,7.45923913,8.21399177,4
756041,1.221052632,1.531578947,0,0.263157895,1.657608696,6.844993141,4
745991,0.732631579,1.531578947,0.157894737,0.210526316,0,0,1
503828,0.610526316,0.765789474,0,0.473684211,6.630434783,0,4
127428,0.122105263,0.153157895,0.368421053,0,0,0,1
99947,0.122105263,0.153157895,0,0.631578947,4.972826087,4.106995885,1
783615,1.465263158,1.837894737,0,0,6.630434783,6.160493827,4
503968,0.610526316,0.765789474,0,0.736842105,0,0,1
515306,0.610526316,0.765789474,0.315789474,0.315789474,0,4.791495199,1
762868,0.610526316,1.684736842,0,0,7.45923913,3.422496571,3
739890,0.488421053,1.531578947,0,0,4.144021739,2.737997257,3
721645,0.854736842,1.378421053,0.052631579,0.052631579,4.144021739,6.160493827,3
661028,0.244210526,1.225263158,0.052631579,0.052631579,4.144021739,7.529492455,3
575442,0.610526316,0.918947368,0.210526316,0.052631579,4.144021739,7.529492455,1
286778,0.244210526,0.459473684,0.052631579,0.052631579,4.972826087,8.898491084,1
792605,1.587368421,2.144210526,0,0,2.486413043,2.053497942,3
636188,0.732631579,1.072105263,0.052631579,0.052631579,10.77445652,2.053497942,4
704630,0.244210526,1.378421053,0.052631579,0.052631579,1.657608696,10.95198903,1
771448,1.221052632,1.684736842,0.052631579,0.052631579,2.486413043,4.791495199,4
209909,0.244210526,0.306315789,0.052631579,0.421052632,3.315217391,10.26748971,4
563611,0.488421053,0.918947368,0.210526316,0.052631579,1.657608696,11.63648834,1
771487,1.221052632,1.684736842,0.052631579,0.052631579,4.972826087,1.368998628,3
537774,0.244210526,0.918947368,0.052631579,0.052631579,3.315217391,11.63648834,1
727667,0.976842105,1.378421053,0.157894737,0.052631579,1.657608696,8.21399177,1
631266,0.610526316,1.072105263,0.210526316,0,7.45923913,2.053497942,3
382586,0.244210526,0.612631579,0.210526316,0.052631579,4.972826087,10.26748971,1
605491,0.244210526,1.072105263,0.052631579,0.052631579,8.288043478,2.053497942,3
628267,0.610526316,1.072105263,0.052631579,0.210526316,1.657608696,7.529492455,1
460802,0.244210526,0.765789474,0.052631579,0.210526316,4.144021739,7.529492455,1
378742,0.244210526,0.612631579,0.105263158,0.210526316,2.486413043,11.63648834,1
681048,0.732631579,1.225263158,0.052631579,0,3.315217391,10.95198903,4
627524,0.610526316,1.072105263,0.052631579,0.052631579,4.144021739,6.844993141,3
687649,0.854736842,1.225263158,0.052631579,0.052631579,6.630434783,2.053497942,3
763381,0.610526316,1.684736842,0.052631579,0.052631579,1.657608696,7.529492455,3
681435,0.732631579,1.225263158,0.052631579,0.052631579,4.972826087,10.26748971,4
705253,0.244210526,1.378421053,0.105263158,0.052631579,2.486413043,4.106995885,3
782843,1.343157895,1.837894737,0.052631579,0.052631579,1.657608696,6.160493827,4
612797,0.366315789,1.072105263,0.052631579,0.157894737,5.801630435,2.053497942,3
681910,0.732631579,1.225263158,0.052631579,0.157894737,6.630434783,2.053497942,3
681877,0.732631579,1.225263158,0.052631579,0.157894737,4.144021739,6.844993141,3
547919,0.366315789,0.918947368,0.052631579,0.052631579,7.45923913,6.844993141,3
684233,0.732631579,1.225263158,0.210526316,0.052631579,3.315217391,7.529492455,1
552699,0.366315789,0.918947368,0.210526316,0.052631579,6.630434783,2.053497942,3
635796,0.732631579,1.072105263,0.052631579,0,10.77445652,2.053497942,4
605402,0.244210526,1.072105263,0.052631579,0.052631579,4.144021739,10.95198903,3
684640,0.732631579,1.225263158,0.263157895,0.052631579,2.486413043,2.053497942,1
537969,0.244210526,0.918947368,0.052631579,0.052631579,10.77445652,2.053497942,3
742016,0.610526316,1.531578947,0,0.052631579,1.657608696,9.582990398,3
788693,1.343157895,1.991052632,0.052631579,0.052631579,1.657608696,2.053497942,3
794423,1.709473684,2.297368421,0.052631579,0.052631579,0.828804348,2.737997257,4
680768,0.732631579,1.225263158,0,0.315789474,4.144021739,2.737997257,3
681644,0.732631579,1.225263158,0.052631579,0.105263158,3.315217391,2.053497942,3
753192,1.098947368,1.531578947,0.052631579,0.052631579,1.657608696,8.898491084,4
754396,1.098947368,1.531578947,0.157894737,0.052631579,2.486413043,2.737997257,3
753527,1.098947368,1.531578947,0.052631579,0.157894737,4.144021739,2.053497942,3
778667,0.854736842,1.837894737,0.052631579,0.052631579,1.657608696,4.106995885,3
309943,0.366315789,0.459473684,0,0.263157895,2.486413043,13.00548697,4
687504,0.854736842,1.225263158,0.052631579,0.052631579,1.657608696,11.63648834,4
690629,0.854736842,1.225263158,0.210526316,0.052631579,3.315217391,2.053497942,1
628083,0.610526316,1.072105263,0.052631579,0.157894737,2.486413043,10.95198903,1
662601,0.244210526,1.225263158,0.157894737,0.052631579,2.486413043,4.791495199,1
794228,1.587368421,2.297368421,0.052631579,0.052631579,0.828804348,2.053497942,4
683568,0.732631579,1.225263158,0.157894737,0.052631579,2.486413043,10.95198903,1
569039,0.610526316,0.918947368,0,0.421052632,2.486413043,2.053497942,1
753906,1.098947368,1.531578947,0.105263158,0.052631579,1.657608696,6.844993141,1
474358,0.366315789,0.765789474,0.052631579,0.105263158,6.630434783,2.053497942,3
638458,0.732631579,1.072105263,0.105263158,0.210526316,2.486413043,1.368998628,1
547443,0.366315789,0.918947368,0.052631579,0,6.630434783,10.95198903,1
769693,1.098947368,1.684736842,0.052631579,0.210526316,0.828804348,2.737997257,3
637884,0.732631579,1.072105263,0.105263158,0.052631579,5.801630435,8.21399177,4
740699,0.488421053,1.531578947,0.052631579,0.052631579,0.828804348,9.582990398,1
781864,1.221052632,1.837894737,0.105263158,0.052631579,0.828804348,2.737997257,1
636187,0.732631579,1.072105263,0.052631579,0.052631579,10.77445652,1.368998628,3
605343,0.244210526,1.072105263,0.052631579,0.052631579,2.486413043,10.95198903,1
606160,0.244210526,1.072105263,0.052631579,0.263157895,2.486413043,2.053497942,3
372507,0.244210526,0.612631579,0,0.368421053,2.486413043,10.26748971,1
777895,0.732631579,1.837894737,0.052631579,0.052631579,0.828804348,3.422496571,3
688201,0.854736842,1.225263158,0.052631579,0.210526316,1.657608696,7.529492455,1
559725,0.488421053,0.918947368,0.052631579,0.263157895,4.144021739,6.844993141,3
681317,0.732631579,1.225263158,0.052631579,0.052631579,1.657608696,6.160493827,1
282130,0.244210526,0.459473684,0,0.105263158,4.144021739,12.32098765,1
481792,0.366315789,0.765789474,0.263157895,0.052631579,6.630434783,2.737997257,3
393854,0.366315789,0.612631579,0.052631579,0.052631579,11.60326087,2.737997257,4
686571,0.854736842,1.225263158,0,0.210526316,1.657608696,8.21399177,1
537889,0.244210526,0.918947368,0.052631579,0.052631579,6.630434783,9.582990398,3
381407,0.244210526,0.612631579,0.157894737,0.210526316,6.630434783,2.053497942,3
475063,0.366315789,0.765789474,0.052631579,0.210526316,5.801630435,6.844993141,3
640203,0.732631579,1.072105263,0.210526316,0.052631579,4.972826087,2.053497942,3
792841,1.587368421,2.144210526,0.052631579,0.052631579,0.828804348,2.053497942,1
771905,1.221052632,1.684736842,0.105263158,0.052631579,1.657608696,2.737997257,1
376379,0.244210526,0.612631579,0.052631579,0.368421053,5.801630435,2.053497942,3
