_rxn_M_inorganic,_rxn_M_organic,_rxn_M_acid,crystal score
0.10248996,0.128554217,15.97695128,4
2.32,2.91,0,4
0.10208,0.12804,6.365217391,4
1.434859438,1.799759036,9.58617077,4
0.987630522,1.793253012,3.195390257,3
0.10208,0.12804,0,1
0.10208,1.23252,12.73043478,3
0.10208,2.337,0,1
0.10208,0.12804,9.547826087,4
1.434859438,1.799759036,6.390780513,3
0.10208,0.12804,3.182608696,1
0.987630522,1.238795181,0,1
0.10208,1.78476,6.365217391,3
0.10208,0.12804,12.73043478,4
0.10208,1.23252,9.547826087,3
1.87456,2.35128,3.182608696,3
0.10208,1.23252,3.182608696,1
1.42912,2.3448,0,3
0.10208,1.23252,0,1
0.987630522,1.238795181,12.78156103,4
0.54752,0.68676,0,1
0.54752,0.68676,3.182608696,1
0.54752,0.68676,6.365217391,4
0.54752,0.68676,9.547826087,4
0.54752,0.68676,12.73043478,4
0.54752,0.68676,15.91304348,4
0.987630522,1.238795181,6.390780513,4
0.987630522,1.238795181,9.58617077,4
0.54752,1.79124,0,3
0.10208,1.23252,6.365217391,3
0.987630522,1.238795181,3.195390257,1
0.10208,1.78476,3.182608696,3
1.42912,1.79256,0,1
0.987630522,1.793253012,6.390780513,3
1.42912,1.79256,3.182608696,3
0.98368,2.33832,0,1
0.10208,0.68028,0,1
0.10208,0.68028,3.182608696,1
0.10208,0.68028,6.365217391,3
0.10208,0.68028,9.547826087,3
0.10208,0.68028,12.73043478,3
0.10248996,0.683012048,15.97695128,3
0.54752,1.239,0,1
0.54752,1.239,3.182608696,4
0.54752,1.239,6.365217391,3
0.54752,1.239,9.547826087,3
0.54752,1.239,12.73043478,3
0.10208,1.78476,0,4
