Wavelength	A1	C1	E1	G1	A2	C2	E2	G2	A3	E3	A4	C4	G4	A5	C5	C6	E6	A7	C7	E7	G7	C8	E8	G8	C9	G9	A10	C10	G10	E11	G11	A12	C12	E12	G12
540	19856	1712	21598	6650	18976	18106	12077	11187	512	1264	945	827	662	13705	1562	838	3696	760	8588	950	674	18810	8082	3036	551	6286	2168	1918	2546	20054	9837	1050	926	439	20440
541	19714	1718	21706	6644	19212	18165	12195	11108	497	1252	945	830	654	13615	1585	813	3731	776	8602	981	696	18746	8079	3108	552	6301	2194	1887	2529	19821	9882	1083	929	440	20238
542	19752	1749	21485	6565	19128	18343	12023	11146	513	1261	955	842	668	13652	1611	830	3735	775	8560	974	693	18685	7991	3133	574	6236	2214	1938	2533	19791	9648	1088	925	458	20373
543	19903	1741	21329	6650	18947	18240	11842	11109	518	1288	942	857	703	13648	1634	865	3794	784	8519	999	730	18592	8062	3093	570	6269	2202	1894	2585	19717	9775	1084	953	466	20415
544	19926	1784	21376	6573	19016	18113	11913	10977	533	1290	925	869	702	13489	1666	838	3772	811	8450	1036	745	18328	7960	3094	586	6218	2253	1897	2571	19757	9745	1092	981	474	20446
545	19847	1793	21143	6466	18943	17981	11862	10932	531	1313	971	890	718	13489	1671	864	3841	816	8468	1068	757	18361	7977	3108	601	6192	2289	1903	2599	19497	9694	1110	967	493	20302
546	19859	1823	21060	6476	18836	17950	11786	10920	537	1303	942	874	744	13382	1717	871	3821	822	8445	1075	809	18196	7910	3109	610	6150	2289	1909	2574	19534	9650	1140	993	502	20334
547	19727	1869	20908	6509	18769	17866	11722	10730	551	1342	958	883	754	13371	1701	887	3917	834	8486	1097	792	18156	7915	3119	611	6101	2282	1886	2593	19347	9554	1143	990	515	20399
548	19677	1873	20905	6436	18624	17673	11615	10764	557	1370	996	895	778	13327	1762	886	3951	859	8432	1120	805	18100	7856	3111	628	6091	2332	1896	2615	19184	9570	1148	1024	533	20385
549	19554	1867	20737	6444	18554	17548	11662	10719	581	1369	975	905	815	13186	1769	913	3988	858	8326	1187	838	17873	7974	3109	641	6043	2326	1875	2586	19150	9481	1153	1021	542	20386
550	19440	1901	20679	6331	18405	17598	11404	10664	559	1431	979	917	838	13099	1842	925	3941	908	8304	1215	864	17744	7773	3095	659	6054	2366	1941	2622	18917	9434	1150	1031	573	20610
551	19335	1945	20426	6376	18278	17310	11345	10526	583	1440	973	935	851	13092	1829	950	4019	901	8252	1243	855	17703	7762	3116	675	6021	2361	1892	2639	18761	9351	1164	1036	583	20400
552	19202	1980	20236	6322	18023	17090	11394	10472	586	1469	1004	969	865	12880	1868	961	4038	950	8129	1299	916	17421	7639	3094	693	5936	2367	1881	2684	18572	9324	1205	1077	580	20602
553	18943	2021	20041	6223	18082	17045	11272	10397	587	1487	990	994	900	12813	1883	969	4082	969	8076	1335	934	17303	7642	3097	718	5918	2371	1903	2662	18537	9182	1197	1085	609	20568
554	18916	2078	19879	6186	17732	16876	11181	10350	586	1494	1012	989	935	12605	1921	957	4118	963	8100	1387	935	17131	7672	3069	728	5899	2426	1860	2668	18394	9229	1211	1080	603	20699
555	18695	2118	19680	6151	17780	16755	11046	10280	590	1595	1003	1008	958	12671	1944	987	4166	1000	7950	1390	946	16949	7525	3107	727	5822	2443	1848	2726	18105	9026	1238	1106	634	20583
556	18605	2133	19497	6146	17613	16683	10955	10121	592	1615	1021	1007	973	12537	1976	988	4259	1039	7930	1496	959	16716	7563	3114	740	5790	2423	1855	2768	18141	8979	1236	1119	621	20541
557	18420	2193	19279	6107	17448	16416	10730	10116	595	1663	1012	1056	1018	12438	2009	1025	4275	1056	7927	1546	1004	16654	7460	3125	776	5771	2457	1822	2761	17845	8981	1246	1122	623	20825
558	18397	2216	19151	6065	17285	16204	10910	10005	622	1717	1037	1052	1049	12186	2057	1010	4285	1078	7850	1570	1024	16494	7481	3089	795	5781	2444	1865	2794	17772	8903	1272	1156	664	20682
559	17994	2293	19286	5947	17221	16186	10778	9859	606	1773	1044	1070	1039	12218	2070	1007	4337	1087	7735	1627	1072	16276	7430	3074	790	5700	2491	1864	2874	17682	8800	1298	1150	652	20706
560	17918	2339	19099	5973	17034	15924	10605	9871	638	1867	1043	1119	1076	12221	2082	1072	4379	1121	7716	1693	1061	16095	7324	3111	790	5683	2501	1841	2929	17427	8711	1319	1161	680	20714
561	17918	2374	18789	5901	16837	15889	10469	9827	623	1882	1048	1133	1132	11977	2103	1056	4515	1159	7620	1761	1127	15990	7324	3150	816	5703	2504	1859	2930	17302	8657	1295	1191	672	20638
562	17675	2454	18686	5886	16678	15721	10438	9689	652	1978	1091	1173	1136	11986	2153	1067	4436	1213	7584	1812	1120	16000	7341	3132	827	5624	2527	1820	2975	17231	8654	1320	1221	668	20760
563	17501	2466	18440	5787	16464	15603	10400	9744	653	2003	1096	1195	1197	11906	2169	1095	4513	1257	7465	1882	1121	15853	7343	3098	851	5604	2604	1804	3075	16814	8583	1349	1253	701	20543
564	17392	2530	18266	5769	16511	15449	10254	9526	665	2122	1130	1246	1250	11778	2193	1090	4482	1281	7548	1944	1157	15643	7254	3171	820	5500	2580	1919	3071	16719	8567	1352	1257	712	20644
565	17268	2581	18075	5803	16223	15240	10209	9490	677	2204	1145	1253	1275	11601	2236	1105	4540	1317	7368	2006	1184	15505	7272	3207	893	5590	2633	1861	3133	16622	8413	1415	1270	708	20582
566	16999	2611	17775	5685	16050	15143	10031	9416	703	2261	1146	1337	1315	11499	2265	1146	4616	1346	7407	2082	1193	15328	7283	3305	910	5448	2718	1889	3210	16446	8338	1478	1307	758	20286
567	16848	2689	17731	5651	15850	14990	9900	9314	725	2353	1228	1376	1349	11352	2299	1146	4654	1407	7268	2187	1236	15133	7267	3320	933	5320	2743	1896	3243	16313	8314	1452	1352	783	20128
568	16731	2724	17492	5587	15768	14844	9855	9236	744	2481	1248	1383	1368	11373	2312	1180	4620	1475	7157	2259	1252	15112	7248	3359	980	5343	2838	1979	3280	16202	8195	1529	1442	828	19933
569	16420	2772	17288	5514	15544	14513	9640	9110	754	2596	1259	1452	1441	11150	2312	1189	4662	1507	7106	2306	1283	15116	7183	3420	1014	5365	2937	1988	3374	15988	8122	1562	1456	858	19702
570	16145	2872	17073	5413	15314	14436	9652	9083	773	2702	1302	1508	1448	11004	2356	1192	4688	1591	7154	2409	1326	14812	7225	3475	1029	5202	3038	2014	3410	15783	8127	1628	1533	899	19529
571	15852	2913	16709	5345	15273	14157	9512	8901	824	2791	1395	1537	1513	10935	2388	1256	4672	1629	6935	2481	1345	14585	7339	3547	1112	5197	3100	2032	3464	15523	7888	1721	1577	923	19275
572	15737	2927	16677	5249	14972	13944	9400	8854	862	2930	1430	1625	1537	10720	2379	1287	4703	1700	6891	2568	1378	14609	7263	3594	1142	5153	3312	2085	3553	15463	7881	1807	1626	1001	19019
573	15615	2948	16410	5280	14784	13837	9319	8715	878	3006	1464	1693	1614	10568	2395	1303	4734	1801	6711	2678	1406	14479	7219	3720	1236	5060	3411	2207	3613	15239	7749	1875	1712	1035	18875
574	15468	3053	16174	5194	14498	13640	9129	8463	940	3155	1528	1750	1673	10529	2459	1340	4665	1853	6702	2776	1377	14230	7352	3795	1278	5039	3583	2221	3672	14947	7616	1945	1798	1097	18647
575	15158	3034	15945	5178	14488	13477	8982	8470	987	3255	1635	1843	1684	10285	2445	1408	4668	1938	6594	2816	1460	14191	7345	3957	1329	4976	3709	2298	3751	14822	7519	2057	1895	1170	18247
576	14970	3084	15844	5057	14372	13386	9056	8394	1045	3419	1641	1920	1761	10314	2530	1434	4723	1997	6578	2887	1462	14164	7347	4035	1429	4922	3842	2379	3794	14610	7463	2116	1967	1212	18109
577	14921	3101	15611	5028	14066	13111	8840	8270	1089	3525	1746	2005	1864	9960	2533	1504	4792	2044	6408	2978	1529	14209	7413	4183	1532	4838	3958	2462	3829	14509	7443	2289	2107	1292	17841
