Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	A1	A5	A8	A12	C2	C5	C7	C8	C9	C10	E3	E5	E6	E7	E8	E9	E11	G1	G4	G6	G8	G9	G11	G12
380	1	4	5	1	1	19	9	2	29	1	11	1	31	3	1	7	5	9	1	1	2	17	3	1
381	1	5	6	1	1	21	8	2	23	2	9	2	30	4	1	8	5	9	1	2	1	17	1	1
382	1	5	6	1	2	24	12	2	29	3	14	1	31	6	0	7	5	7	1	1	1	16	3	2
383	2	7	7	1	1	24	10	2	30	0	13	1	34	3	1	8	6	8	1	0	1	24	3	1
384	3	4	7	1	1	25	11	2	28	1	11	1	34	5	1	8	6	11	2	1	2	22	3	2
385	2	11	6	1	1	24	13	2	28	1	15	2	36	5	1	6	7	11	2	1	3	25	2	2
386	3	10	8	1	1	28	12	2	33	1	13	2	35	8	1	8	4	13	2	2	3	25	3	2
387	2	11	9	1	1	28	19	3	35	1	16	2	39	7	3	6	7	11	2	2	4	26	2	2
388	2	13	9	2	2	35	21	3	33	3	17	1	45	8	1	7	7	14	2	2	2	33	5	3
389	2	16	7	1	2	30	23	3	34	2	17	2	46	8	2	10	5	12	1	3	3	35	4	3
390	3	16	7	1	3	30	26	4	40	2	19	3	40	9	2	10	7	13	2	3	3	39	4	3
391	3	20	9	1	1	33	31	3	34	2	19	2	47	12	2	11	7	14	3	3	4	46	6	3
392	3	22	11	2	2	34	35	3	39	3	21	3	52	11	2	10	10	13	2	3	4	49	5	4
393	3	25	10	2	3	33	38	4	42	2	22	2	49	14	1	12	11	17	4	3	5	57	4	4
394	4	28	11	2	2	36	40	5	41	4	25	2	54	14	2	10	13	19	5	4	4	63	9	5
395	4	35	13	2	2	44	48	4	46	2	34	3	50	17	3	12	15	18	3	4	5	68	7	6
396	5	36	13	2	3	37	52	4	47	4	34	5	55	20	3	13	17	16	5	4	5	81	6	6
397	4	44	13	3	4	43	53	5	52	4	39	3	56	20	3	13	14	19	4	4	6	89	8	7
398	6	41	13	2	4	47	67	4	46	4	35	4	61	24	3	12	16	19	6	6	7	97	9	7
399	6	43	13	3	3	47	74	6	54	4	41	7	58	26	4	13	18	21	6	6	6	114	9	9
400	6	60	19	5	5	51	79	5	56	7	46	5	61	24	3	14	18	21	6	6	8	124	10	11
401	8	60	16	4	4	49	93	7	58	6	59	4	62	29	5	15	21	19	7	8	10	148	13	10
402	9	65	17	4	6	49	92	7	59	7	56	5	73	34	4	16	25	25	8	9	12	152	11	10
403	9	64	18	5	7	57	101	6	63	5	63	5	70	33	4	17	33	27	9	9	11	187	14	12
404	10	71	21	5	5	59	108	6	61	7	68	6	76	41	4	15	29	24	10	9	12	200	14	13
405	10	76	20	5	6	60	114	9	66	8	62	7	75	41	5	15	33	27	10	8	13	220	17	13
406	11	85	21	5	6	62	129	10	66	9	75	9	84	47	5	17	34	25	12	12	14	249	15	14
407	11	89	24	5	6	63	126	10	72	10	84	10	90	49	6	18	39	28	12	12	15	254	18	15
408	14	95	19	5	6	63	135	12	73	10	85	9	84	51	7	17	43	26	13	14	16	285	18	17
409	14	103	25	5	6	68	146	12	77	10	93	8	87	50	7	22	44	29	15	12	17	303	20	16
410	15	95	25	6	9	76	137	12	70	9	97	10	93	54	9	22	55	34	16	13	18	317	22	16
411	14	103	23	6	9	74	150	11	77	10	113	11	96	54	8	21	51	29	14	14	18	340	21	22
412	15	108	24	8	8	78	154	10	81	13	109	12	98	54	11	22	54	37	17	14	23	364	26	20
413	16	114	22	7	10	80	158	15	80	14	101	11	96	61	10	21	61	35	20	15	22	378	23	16
414	17	106	28	6	9	76	165	12	83	13	117	10	100	61	10	26	63	36	20	17	18	420	20	18
415	16	108	26	6	10	78	161	12	87	12	112	12	93	67	10	24	72	35	20	17	24	426	28	20
416	20	112	24	7	9	87	173	14	90	15	118	13	104	64	13	21	73	38	22	18	25	429	24	21
417	20	107	28	7	9	94	160	15	85	15	114	13	100	62	12	24	66	40	21	16	26	453	29	21
418	20	111	27	8	9	87	170	13	90	18	129	14	106	65	13	21	76	39	25	19	29	470	28	21
419	23	121	26	7	9	90	180	15	86	19	135	16	108	69	12	23	80	41	24	19	29	471	28	21
420	25	111	28	8	10	87	171	15	88	18	133	14	109	70	13	25	87	38	24	22	29	503	34	21
421	24	124	26	8	11	88	175	15	93	17	146	15	118	69	13	27	86	43	24	22	29	532	30	21
422	23	118	26	7	10	92	176	18	94	18	137	16	113	71	14	28	101	46	27	21	30	527	27	19
423	26	134	30	9	11	93	180	14	98	20	136	14	122	72	17	29	85	48	29	23	31	541	33	23
424	24	125	27	9	12	90	189	18	97	18	140	17	111	70	16	24	92	43	30	23	35	543	33	22
425	27	141	33	10	12	100	188	17	92	19	148	14	121	71	17	29	99	43	28	24	39	554	32	22
426	27	150	30	11	11	87	191	16	103	19	152	15	119	68	16	28	110	45	29	26	34	574	36	21
427	29	145	28	10	12	92	190	16	108	23	150	18	115	71	19	27	100	44	30	27	36	586	37	26
428	27	156	30	10	13	97	196	17	100	25	149	16	124	74	19	31	114	46	33	27	40	586	35	21
