Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	A1	B1	C1	E1	B2	B3	C3	E3	B4	A5	C5	G5	E7	A9	A11	C11	E11	G11
380	1	1	1	1	3	2	0	1	4	1	6	1	0	1	0	3	0	0
381	0	2	0	0	2	2	0	0	2	0	6	1	0	0	0	2	0	0
382	0	0	0	1	2	2	0	0	1	0	7	0	1	0	1	3	0	1
383	0	1	0	1	1	1	0	0	3	1	5	0	0	1	1	3	0	1
384	1	2	1	1	2	3	1	1	1	1	6	0	0	0	1	4	1	1
385	0	3	0	2	1	3	0	1	1	1	9	0	0	1	0	4	0	0
386	0	4	0	1	2	3	0	1	3	1	7	0	1	1	1	4	1	1
387	0	2	0	1	3	3	1	1	2	1	8	1	1	0	1	4	1	1
388	1	2	1	0	3	4	0	1	3	1	8	0	1	1	1	5	0	1
389	1	3	1	1	2	3	1	0	4	1	9	1	1	1	1	6	1	1
390	0	3	0	1	5	4	0	0	3	1	11	1	1	1	0	7	0	2
391	0	5	1	1	3	3	1	1	4	1	6	1	0	0	1	9	1	2
392	1	5	0	2	4	6	0	1	7	0	8	0	1	1	1	8	1	2
393	1	5	1	1	4	5	0	1	5	0	9	0	0	2	1	10	1	1
394	1	8	0	2	7	4	1	1	4	0	8	1	0	2	1	11	1	0
395	0	5	1	2	7	8	1	1	5	1	13	1	2	1	1	12	1	2
396	1	7	1	4	7	5	1	1	8	1	12	1	1	1	1	14	1	3
397	1	8	1	4	8	6	1	1	9	2	10	2	1	1	1	15	1	3
398	1	7	1	2	10	8	1	1	9	0	12	1	2	2	2	16	1	2
399	1	11	1	2	9	12	1	2	8	1	12	1	1	1	2	17	1	4
400	2	8	1	2	12	9	1	1	11	1	13	2	2	2	1	19	1	3
401	2	11	2	3	14	11	1	1	13	2	14	1	1	2	2	23	2	3
402	2	14	1	3	13	16	1	1	16	2	20	1	1	2	2	21	1	4
403	2	19	1	5	18	17	1	2	12	2	17	3	2	1	2	23	1	3
404	2	22	1	3	17	18	1	2	16	2	13	1	2	1	1	24	1	3
405	2	23	1	3	23	21	1	1	21	2	19	2	2	1	2	26	1	6
406	1	22	2	4	22	23	1	2	21	2	20	3	2	2	2	25	2	3
407	2	20	3	4	23	24	1	2	21	2	18	1	2	2	2	28	3	5
408	3	32	3	4	23	24	1	2	23	2	25	2	3	2	3	26	1	6
409	2	27	2	3	25	26	1	3	23	1	22	2	3	3	3	26	2	5
410	2	31	2	4	32	30	1	2	32	2	25	2	3	3	2	27	3	6
411	2	32	3	5	34	36	1	2	31	3	29	2	4	3	3	27	3	6
412	1	34	2	5	37	31	2	3	33	2	26	2	2	2	4	30	2	7
413	3	37	2	4	37	40	2	2	34	3	28	2	2	3	4	29	3	7
414	1	43	3	4	36	46	1	3	37	2	19	2	3	3	5	30	1	8
415	3	49	3	5	45	46	2	3	45	2	29	3	3	3	3	31	3	8
416	1	43	2	5	43	43	3	3	46	3	28	3	4	3	3	32	3	6
417	3	43	3	5	46	39	2	3	48	3	31	3	2	3	4	33	5	8
418	2	53	3	6	45	43	2	3	41	3	27	3	3	3	4	31	4	8
419	3	46	3	7	53	48	2	3	46	3	29	3	5	4	4	33	2	8
420	3	56	2	5	46	49	2	3	44	2	32	2	3	4	5	30	5	7
421	3	49	3	4	46	48	2	2	54	2	27	2	3	2	5	36	3	8
422	2	55	3	4	50	57	2	4	51	4	24	3	3	3	5	34	4	10
423	2	58	2	6	51	57	2	2	56	3	29	2	4	3	4	36	3	8
424	2	63	2	7	54	58	2	4	54	4	33	3	4	3	4	34	3	9
425	3	55	3	6	58	63	2	3	52	3	32	4	4	3	6	33	3	10
426	3	61	4	6	55	61	1	4	53	4	33	3	4	4	6	34	4	7
427	3	55	3	5	61	58	1	4	47	4	30	5	5	3	5	36	4	8
428	3	61	3	6	61	60	2	3	51	3	33	3	3	2	4	39	4	10
429	2	69	3	5	66	54	3	3	59	3	37	3	3	3	6	37	5	8
430	2	61	4	5	72	56	2	3	59	4	31	3	4	4	6	38	3	7
431	2	63	3	7	60	63	2	3	62	5	39	3	3	3	7	35	5	10
432	2	68	3	5	72	61	2	4	62	4	30	3	5	4	7	38	3	10
433	3	75	2	7	59	64	3	5	62	4	33	4	4	3	7	33	3	9
434	3	70	3	6	68	63	2	4	63	4	32	3	4	2	5	36	4	8
435	3	76	4	7	67	66	2	3	59	4	35	4	6	3	8	34	4	8
436	2	70	3	6	70	60	2	4	63	4	35	4	3	3	7	36	4	8
437	2	64	4	5	65	60	2	5	64	3	28	2	6	4	9	35	4	8
438	2	66	5	4	66	65	3	5	60	5	29	4	3	4	7	34	4	8
439	3	69	3	6	74	63	1	5	59	5	36	4	4	4	8	36	3	9
440	4	71	4	7	64	66	2	5	66	5	33	3	4	4	8	30	3	8
441	3	69	4	6	56	69	2	5	61	5	39	4	4	4	10	36	6	8
442	3	74	3	5	61	60	2	4	58	4	29	4	3	3	10	33	4	8
443	2	67	3	6	67	64	3	6	62	4	35	3	3	2	8	34	3	7
444	2	67	2	6	67	60	2	5	62	5	34	4	3	3	9	28	4	10
445	3	62	4	6	61	60	2	8	59	5	25	3	4	2	10	30	3	7
446	2	63	4	7	64	62	3	6	59	6	33	5	4	3	10	26	3	9
447	3	59	4	5	63	55	2	7	54	6	25	4	3	4	11	26	5	8
448	1	73	4	6	61	68	2	5	64	7	24	4	2	3	9	29	4	7
449	2	64	1	5	57	55	2	8	54	5	28	4	3	3	9	26	5	8
450	3	62	3	5	52	58	2	5	53	4	30	3	2	2	12	25	4	6
451	2	66	3	5	67	52	2	7	52	4	32	2	4	3	8	27	3	8
452	1	58	3	7	62	58	2	6	61	4	27	2	4	2	8	22	4	10
453	3	62	4	5	57	54	0	8	58	6	27	3	4	2	12	25	3	7
454	3	57	3	5	47	59	2	9	56	6	28	4	2	2	10	22	4	6
455	2	62	4	4	54	54	1	8	56	6	28	2	3	2	12	21	3	7
456	2	58	2	4	50	54	1	9	56	7	23	3	5	4	13	26	2	7
457	3	56	2	4	64	56	1	9	51	7	25	3	3	2	12	24	2	7
458	3	59	4	6	46	51	1	9	51	5	30	3	3	1	12	25	3	6
459	2	64	3	5	50	50	1	9	43	6	23	4	2	2	11	23	3	6
460	2	57	3	2	51	53	3	9	39	6	25	2	4	3	14	25	3	4
461	1	57	4	5	52	45	0	9	49	8	33	3	3	1	12	21	3	5
462	1	55	2	5	56	53	1	9	45	5	18	3	3	3	14	19	2	6
463	2	50	3	4	44	44	1	10	47	6	20	3	3	2	14	22	2	6
464	3	58	2	4	54	43	1	9	42	10	22	1	2	1	13	21	4	5
465	2	45	2	4	48	52	1	11	48	6	21	3	2	3	15	17	3	5
466	1	48	1	4	49	50	1	10	49	9	21	1	3	2	13	21	3	5
467	1	49	3	5	41	47	1	7	43	9	21	4	2	3	14	18	3	5
468	1	50	2	5	45	45	1	11	43	9	19	1	3	2	12	16	3	6
469	3	51	3	2	51	47	0	9	44	8	23	2	4	2	12	18	3	5
470	2	53	1	4	44	46	1	10	38	8	23	2	2	2	16	17	3	5
471	1	47	2	4	51	46	2	9	39	10	26	2	4	2	15	16	3	4
472	1	45	1	3	46	41	1	11	39	9	22	2	3	3	14	14	4	3
473	2	42	2	4	48	42	1	11	48	9	21	2	3	2	15	14	2	4
474	2	51	4	3	42	45	2	11	44	9	18	3	3	2	15	14	3	4
475	1	48	2	3	40	47	1	12	42	11	18	1	4	2	16	14	2	4
476	1	51	3	3	41	37	1	11	41	11	23	3	1	2	17	15	3	3
477	2	48	3	3	56	43	1	10	45	12	20	2	2	1	16	13	2	5
478	1	49	2	4	51	37	1	13	47	9	19	3	3	2	16	14	4	4
479	2	45	1	2	44	39	1	12	43	9	19	2	3	1	15	11	3	3
480	2	45	2	3	42	49	2	10	42	9	20	4	2	1	18	11	2	4
481	2	48	2	6	45	37	0	12	44	9	21	2	3	2	17	14	2	4
482	2	48	2	3	41	44	1	12	40	11	16	3	2	2	18	12	2	3
483	1	39	2	3	50	50	1	12	41	9	14	2	2	1	17	12	3	4
484	2	44	2	5	34	35	1	14	39	13	20	2	3	2	16	10	3	3
485	2	42	2	3	39	39	2	11	40	11	17	2	3	2	15	9	2	3
486	2	44	1	3	41	35	2	12	31	11	18	2	3	2	15	10	2	4
487	2	48	1	3	40	39	2	14	37	9	21	2	2	2	16	9	4	4
488	2	41	2	1	42	38	2	11	37	10	11	2	4	2	15	10	1	4
489	1	42	2	2	38	33	1	12	45	12	18	2	3	2	15	11	2	3
490	1	34	1	2	37	42	2	10	37	12	15	3	3	2	17	9	3	1
491	1	41	2	2	38	35	1	12	31	10	17	1	1	2	18	9	2	3
492	1	39	1	2	43	42	0	11	34	10	15	1	1	1	18	11	1	3
493	2	38	2	3	36	45	1	12	37	10	16	2	3	2	17	9	2	4
494	1	43	1	2	32	37	1	13	44	13	17	1	2	3	17	10	1	3
495	2	44	2	3	38	32	2	12	36	12	15	2	2	1	17	11	1	2
496	2	39	1	3	36	38	1	13	27	10	15	2	1	2	18	8	2	2
497	1	38	1	3	32	31	0	11	32	11	12	2	3	2	18	9	2	2
498	0	37	2	2	38	37	1	10	30	11	15	2	1	2	15	6	2	4
499	2	33	2	2	37	34	1	12	35	11	18	3	1	2	16	8	2	2
500	1	37	1	2	35	35	0	13	25	8	16	2	2	2	17	6	2	4
501	1	38	1	3	42	33	1	13	38	9	17	2	1	2	17	7	2	3
502	1	35	1	2	33	37	1	13	41	11	18	2	2	2	17	7	3	2
503	1	33	1	2	33	34	1	13	33	13	13	1	2	1	19	7	3	2
504	1	30	2	3	31	27	1	13	33	10	14	2	1	1	16	9	2	3
505	1	37	1	2	31	30	1	11	31	12	12	2	2	2	20	6	3	2
506	2	32	1	2	35	31	1	11	29	10	16	3	1	2	22	6	3	3
507	1	33	2	3	34	34	0	11	28	12	16	2	2	1	19	7	2	3
508	1	32	1	3	28	28	1	11	36	15	15	2	2	1	20	7	2	3
509	1	33	2	2	32	31	0	11	24	12	14	2	2	3	22	7	2	3
510	1	33	1	4	27	35	3	13	28	10	14	3	3	1	20	7	3	2
511	1	34	2	3	31	28	0	11	26	10	12	1	2	1	21	6	2	2
512	1	29	2	3	29	21	1	14	32	12	15	2	2	2	20	6	1	2
513	1	26	0	2	27	30	1	12	30	11	15	3	2	1	22	6	2	2
514	2	25	1	3	28	29	1	14	29	13	14	2	3	3	16	6	4	2
515	2	35	3	2	25	28	2	13	24	14	18	2	3	2	20	4	1	3
516	2	28	2	3	28	26	1	15	22	14	12	2	2	2	22	4	2	3
517	1	32	2	2	29	30	1	14	32	11	16	3	3	1	23	4	2	2
518	3	29	2	4	30	29	1	11	26	15	17	2	3	4	22	6	3	3
519	2	29	2	3	27	25	1	14	27	11	14	4	3	4	22	5	3	3
520	3	32	3	2	28	29	2	13	27	12	15	2	3	4	23	6	4	3
521	3	34	2	5	30	29	2	14	29	12	19	3	1	5	23	5	2	4
522	2	28	2	5	25	26	2	15	21	15	17	3	2	6	22	6	4	4
523	2	23	2	3	24	25	3	15	31	12	15	4	4	5	22	3	4	4
524	3	30	3	5	26	24	3	14	25	13	20	4	4	7	30	5	4	6
525	2	29	3	5	23	28	3	19	24	12	16	5	5	8	27	7	3	4
526	2	23	4	7	23	20	4	14	22	15	17	5	5	10	24	6	4	5
527	3	26	4	9	25	29	3	13	29	14	19	4	5	11	24	5	5	6
528	3	24	6	10	29	22	5	13	26	14	17	5	6	13	25	6	5	7
529	6	26	7	9	22	25	3	17	20	13	20	4	6	15	27	5	5	6
530	6	22	7	12	23	22	5	14	22	15	18	7	8	18	27	7	6	7
531	8	23	7	14	22	27	6	17	26	13	19	7	8	20	24	7	7	8
532	8	25	9	17	25	24	5	16	20	13	19	8	10	23	28	7	7	6
533	9	26	10	14	18	22	8	15	26	15	17	10	11	28	25	7	8	8
534	10	23	11	20	19	25	9	17	22	14	15	9	12	31	27	9	9	12
535	12	22	14	21	18	18	11	18	25	19	22	9	16	32	29	7	10	13
536	13	25	12	24	22	21	9	17	19	18	16	13	15	40	29	8	11	14
537	16	24	15	28	21	25	13	15	21	17	22	13	15	48	22	11	13	15
538	16	28	20	31	22	24	14	14	20	16	18	14	16	58	29	13	13	19
539	20	18	16	34	25	15	13	15	22	16	17	16	22	62	27	13	13	20
540	19	20	20	37	19	15	16	18	20	18	21	19	19	69	25	16	15	20
541	22	23	25	49	26	20	17	15	20	19	17	20	24	80	26	13	17	24
542	27	21	26	55	20	20	19	19	18	18	21	21	26	93	31	13	21	27
543	29	20	29	56	20	22	24	17	16	18	22	22	28	105	32	14	19	29
544	28	20	32	70	19	20	23	14	18	20	22	22	29	101	34	22	21	28
545	35	23	38	78	28	20	30	18	21	20	20	25	34	128	29	18	20	31
546	37	18	37	80	19	22	30	17	14	22	14	29	38	145	34	16	26	32
547	40	25	44	89	22	21	31	18	16	19	18	31	41	160	28	18	26	40
548	38	24	45	103	20	21	32	22	17	22	16	31	39	166	35	21	24	37
549	48	17	49	109	17	19	38	18	25	22	17	31	42	185	32	20	25	42
550	48	22	49	117	18	20	36	17	19	24	17	33	44	183	34	22	31	45
551	52	16	54	111	18	18	39	17	19	26	18	34	46	201	34	27	30	42
552	52	23	52	129	20	19	41	18	16	26	16	40	46	204	31	24	34	48
553	51	15	54	135	20	17	37	21	17	22	18	38	50	213	36	25	35	47
554	54	15	61	144	18	20	38	19	16	23	20	39	52	207	31	30	35	47
555	55	18	59	143	18	18	48	18	17	24	13	40	50	224	31	26	32	50
556	59	19	59	147	24	17	37	22	16	30	18	46	51	228	34	29	39	57
557	60	20	60	145	19	19	39	18	14	30	17	38	54	231	32	29	39	52
558	62	13	69	146	20	18	42	19	16	31	21	43	50	229	37	32	36	52
559	64	16	66	154	18	14	44	23	16	32	15	42	58	243	36	31	37	51
560	61	21	66	151	19	19	42	19	14	32	18	44	51	220	37	35	40	51
561	65	17	70	146	18	17	41	21	16	36	9	41	65	225	34	33	42	56
562	62	19	71	162	20	16	45	16	21	29	16	52	56	227	40	31	42	54
563	66	13	74	161	18	12	47	21	13	35	20	51	57	235	36	37	44	60
564	68	21	77	177	17	18	44	18	13	31	21	50	57	238	41	38	43	58
565	61	17	77	161	16	11	47	23	15	36	11	52	60	229	41	36	37	61
566	73	16	78	168	15	21	43	22	16	37	14	57	56	241	36	33	51	61
567	77	18	84	179	17	15	45	23	13	39	12	53	62	247	37	40	47	62
568	78	20	84	191	13	15	57	20	20	42	14	57	64	285	37	42	52	70
569	93	19	89	190	12	12	61	21	16	43	17	66	70	288	36	42	52	66
570	84	16	90	188	18	20	67	21	12	44	17	63	67	293	45	52	54	64
571	96	12	93	215	15	12	62	15	12	45	15	63	69	314	43	46	46	68
572	97	17	99	228	16	14	73	20	15	40	12	64	67	344	35	56	57	71
573	103	17	101	236	19	16	71	23	13	44	14	75	74	371	43	50	64	77
574	112	18	121	251	17	11	77	23	17	46	15	69	78	400	40	55	64	82
575	120	16	123	274	16	18	79	22	16	49	13	74	80	441	39	59	60	85
576	135	12	129	301	15	15	86	20	10	50	14	80	84	463	43	59	67	79
577	139	19	146	329	18	13	80	17	14	57	16	78	97	480	46	55	64	90
578	158	11	155	338	13	14	92	18	16	48	15	87	89	521	41	67	74	97
579	168	12	162	368	13	9	99	24	13	51	16	83	98	554	42	63	74	107
580	160	15	159	409	19	15	101	26	16	52	20	85	100	628	40	67	84	119
581	184	10	177	449	16	12	113	21	8	56	14	87	104	667	45	65	76	124
582	189	15	184	483	16	12	112	24	10	58	14	91	114	680	43	76	81	124
583	213	14	205	537	14	15	123	24	7	62	16	100	113	724	41	76	83	136
584	222	14	215	546	16	7	131	23	16	60	13	109	116	805	54	78	81	137
585	228	17	218	595	16	11	134	17	12	59	10	100	129	827	43	81	91	146
586	249	11	219	632	14	13	139	23	12	67	10	110	119	867	46	71	90	146
587	271	10	248	660	17	10	142	23	13	61	13	107	130	896	45	83	86	167
588	265	14	254	721	9	8	156	22	8	58	18	107	136	943	44	87	94	153
589	276	13	273	698	14	12	146	21	12	58	7	109	140	992	47	84	92	164
590	286	12	272	756	14	9	158	21	14	58	16	112	140	962	52	86	95	201
591	298	7	278	790	14	12	158	21	14	59	15	116	154	1044	45	89	100	185
592	322	9	284	814	12	15	161	20	16	60	12	113	151	1055	41	79	99	195
593	328	8	287	826	17	7	156	21	8	63	12	116	142	1096	44	80	106	208
594	335	14	301	871	14	9	164	25	11	62	17	117	157	1077	46	74	100	210
595	324	9	301	856	16	17	180	25	8	69	16	120	167	1125	51	78	98	208
596	339	13	305	871	13	8	167	22	7	66	12	118	157	1127	43	92	100	215
597	349	13	306	923	17	11	176	25	9	61	10	111	153	1181	43	83	107	204
598	334	9	319	941	11	8	170	23	12	67	16	122	152	1130	50	84	106	213
599	342	10	317	920	14	13	186	24	14	69	11	123	153	1164	55	82	105	215
600	350	7	318	942	11	12	182	22	12	71	15	120	157	1154	49	86	107	219
601	353	10	328	937	11	7	175	20	12	74	10	108	164	1094	52	81	97	226
602	332	9	322	901	13	7	181	23	11	68	6	113	157	1169	45	88	95	227
603	359	12	325	905	10	10	182	23	7	67	13	114	172	1141	51	77	88	229
604	350	6	328	888	9	13	173	26	9	74	16	116	153	1108	51	77	97	216
605	347	13	333	868	9	6	173	19	12	72	9	115	147	1062	49	74	97	215
606	342	13	300	877	12	7	176	21	12	64	12	112	142	1072	56	73	90	224
607	310	7	297	845	8	11	170	26	8	75	9	104	159	1013	57	81	93	218
608	328	7	287	864	11	7	158	22	13	77	12	111	128	1029	45	82	97	216
609	322	5	287	780	12	12	166	20	7	69	7	96	141	986	55	70	90	213
610	317	7	277	793	11	8	147	21	6	63	16	99	137	954	49	71	83	221
611	298	10	277	773	9	4	158	28	3	71	17	90	131	919	46	69	86	200
612	283	12	291	782	12	9	144	25	12	73	13	98	137	908	41	71	75	205
613	295	9	257	726	11	12	155	26	10	70	9	107	132	878	50	66	89	202
614	276	4	250	683	10	7	140	26	14	72	17	94	128	880	49	58	82	186
615	283	9	240	692	12	8	139	22	14	72	7	91	109	806	58	62	77	179
616	261	12	247	674	8	4	124	18	10	74	7	95	117	792	50	63	83	183
617	256	9	223	616	12	11	124	23	8	65	6	86	113	759	49	55	67	186
618	257	5	224	610	14	12	132	23	10	73	10	77	113	725	51	60	72	170
619	238	13	227	599	7	9	120	21	7	69	10	79	104	750	44	61	67	170
620	244	3	199	552	7	11	119	22	8	67	12	77	103	692	49	58	73	165
621	223	9	208	586	8	5	119	15	10	73	10	87	100	706	48	63	66	163
622	215	5	194	537	7	4	114	23	5	73	6	74	93	669	48	57	69	158
623	204	10	192	521	8	9	107	21	4	77	6	75	95	564	44	50	66	149
624	204	9	170	508	9	9	107	23	8	70	12	75	97	633	49	53	65	142
625	194	9	184	510	7	5	110	21	6	70	9	77	94	578	44	55	69	144
626	184	7	190	473	11	10	99	25	3	78	16	71	79	572	51	50	61	142
627	185	10	186	463	7	6	96	20	13	69	15	77	90	563	46	48	64	139
628	184	7	157	471	11	7	92	20	10	72	8	65	82	532	48	48	60	117
629	187	5	167	448	7	7	98	21	10	82	10	77	82	530	56	47	51	124
630	161	3	149	412	8	6	88	22	5	69	16	53	82	495	40	47	56	122
631	165	7	146	421	7	7	90	26	0	74	16	63	77	499	46	46	50	117
632	156	12	156	399	3	7	91	21	5	70	5	60	78	485	43	39	54	124
633	165	1	141	386	5	8	86	21	7	76	11	60	76	451	46	45	53	113
634	156	5	128	371	8	1	81	22	9	79	7	55	64	444	44	45	51	103
635	146	3	120	371	3	5	89	19	5	72	8	53	68	397	50	45	50	100
636	132	5	123	337	12	9	74	25	10	73	6	59	69	385	46	47	53	96
637	119	3	123	340	6	8	66	24	9	72	6	55	67	384	46	35	50	88
638	120	6	121	295	14	5	79	13	5	79	14	58	65	388	53	39	53	86
639	119	3	110	289	4	6	67	15	6	78	6	57	56	359	48	45	42	80
640	104	6	107	284	12	4	77	21	7	71	11	57	53	340	48	43	46	81
641	107	5	111	293	1	0	79	20	4	70	8	46	62	343	47	40	45	82
642	108	0	101	286	7	4	58	21	11	70	6	45	47	330	57	45	43	82
643	100	3	100	246	0	4	59	17	4	67	11	46	57	308	41	39	45	80
644	107	4	107	259	0	10	59	22	7	76	10	46	52	310	51	31	44	67
645	103	8	99	241	6	0	67	24	2	70	12	49	51	290	42	33	46	74
646	95	6	90	231	5	3	57	25	6	72	11	44	53	282	51	39	37	63
647	96	8	88	233	5	3	59	21	6	67	10	48	53	270	42	32	43	66
648	90	4	86	221	12	6	65	22	6	73	6	47	43	264	51	34	42	68
649	82	3	72	216	8	6	52	23	9	76	6	39	49	259	46	39	35	63
650	91	1	78	218	6	3	49	17	5	65	6	40	42	235	47	35	38	51
651	75	6	81	186	0	5	53	26	2	72	4	45	44	233	49	34	36	59
652	79	2	77	189	6	5	55	17	5	69	5	42	39	222	48	30	31	54
653	78	4	74	165	6	5	44	18	6	63	3	38	43	213	47	30	29	57
654	77	4	67	185	9	0	50	21	5	67	9	39	35	211	44	34	31	48
655	68	2	64	169	6	6	50	25	0	73	6	32	40	209	48	31	32	52
656	72	4	60	164	5	6	41	22	5	80	9	38	38	183	46	36	32	48
657	73	5	61	145	7	7	61	21	7	59	6	36	30	192	45	36	33	46
658	64	4	69	170	6	3	45	19	3	71	6	35	34	194	47	29	32	37
659	66	12	59	153	1	1	49	19	3	75	11	38	33	188	52	31	28	37
660	74	7	57	154	2	0	47	22	11	78	9	33	31	184	43	32	31	39
661	49	4	46	135	4	3	42	18	4	73	2	40	36	178	44	30	30	48
662	61	3	51	134	7	9	35	18	9	73	8	39	31	168	49	30	29	35
663	60	5	59	128	1	3	44	21	4	69	11	28	31	148	40	26	33	43
664	59	2	49	117	5	7	37	22	2	72	8	34	23	142	41	25	26	48
665	45	10	51	129	0	6	33	17	0	69	7	40	24	139	44	26	31	34
666	46	4	43	112	6	5	31	21	4	68	11	36	31	147	46	27	27	34
