Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	A1	A3	A5	A7	A9	C1	C3	C7	C9	C11	E1	E3	E5	E7	E9	E11	G1	G7	G9	G11
380	1	1	1	1	0	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2
381	1	2	0	0	0	1	0	0	0	1	0	3	1	0	1	1	0	0	1	1
382	1	1	1	1	0	0	1	0	0	1	0	5	1	0	2	1	0	1	0	1
383	1	0	1	0	0	0	0	1	0	0	1	6	1	0	0	0	0	0	0	0
384	1	1	0	0	0	0	1	0	0	0	0	4	0	0	1	2	1	1	1	1
385	1	2	0	1	1	1	1	1	1	1	1	6	1	1	0	1	0	0	1	1
386	1	1	1	0	0	1	0	1	1	1	1	5	0	1	1	0	0	0	0	1
387	1	2	1	0	1	1	0	0	0	1	0	7	0	0	1	1	1	0	0	1
388	1	3	1	0	1	1	1	1	1	1	1	8	0	1	1	1	1	0	0	3
389	1	2	1	0	1	1	1	1	0	1	1	9	1	0	1	1	1	1	2	1
390	1	2	1	1	1	1	1	1	1	2	1	10	2	1	0	2	1	1	1	3
391	1	2	0	0	1	1	1	1	0	1	1	10	1	0	2	2	1	0	0	2
392	2	4	2	1	1	1	2	1	1	1	1	11	1	1	1	1	1	1	1	2
393	1	2	1	1	1	1	1	1	1	1	0	13	1	1	1	2	1	1	1	3
394	1	4	1	1	1	2	1	2	0	1	1	14	1	0	1	1	1	0	1	4
395	1	4	2	1	0	3	1	1	1	1	1	15	1	2	2	2	1	1	1	4
396	1	5	2	1	1	3	1	1	1	1	1	17	2	1	1	2	2	1	2	4
397	2	5	2	1	1	2	1	1	1	1	1	23	1	1	2	2	1	1	1	5
398	2	4	2	1	1	2	2	2	1	2	1	21	2	1	2	3	1	1	2	4
399	2	5	2	1	1	3	2	2	1	2	1	24	1	1	1	2	1	0	2	5
400	2	4	1	2	1	4	2	2	2	1	1	24	1	1	1	3	2	1	1	5
401	2	4	2	1	2	3	1	2	2	2	2	28	2	1	1	4	1	1	2	5
402	2	5	2	2	2	3	3	2	2	2	2	29	2	2	2	3	2	2	2	9
403	2	6	2	1	2	5	2	2	2	2	2	31	2	2	2	4	3	2	3	8
404	4	7	2	1	1	5	3	2	2	3	1	34	4	2	3	4	3	2	4	11
405	4	7	2	2	3	6	2	4	2	2	1	36	3	1	3	5	3	1	2	9
406	3	7	4	2	1	5	2	3	3	2	2	34	3	2	4	6	2	2	3	10
407	4	8	3	2	2	7	4	4	2	3	2	36	3	2	3	6	3	1	4	9
408	3	8	3	2	2	5	3	4	2	3	2	36	5	2	3	6	2	1	2	11
409	6	7	4	2	2	9	4	3	3	2	2	39	3	3	4	6	2	3	4	12
410	3	7	4	2	3	6	4	3	1	4	3	39	5	1	3	7	3	2	4	16
