Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	G1	G3	E5	G5	E7	A9	E9	A11	G11
380	1	0	0	0	1	0	0	0	1
381	0	0	0	0	0	1	1	1	0
382	1	0	1	1	0	1	0	0	0
383	1	0	2	1	0	0	1	1	0
384	0	0	0	0	1	1	0	0	0
385	0	0	1	0	1	1	1	1	0
386	1	0	1	0	1	1	0	0	1
387	0	1	1	1	0	1	1	0	1
388	1	1	1	0	0	1	0	0	1
389	0	0	0	0	1	1	1	0	0
390	0	1	1	1	0	1	0	1	1
391	1	0	0	0	1	1	0	0	1
392	1	0	1	1	1	1	1	1	1
393	1	1	1	1	1	0	0	1	0
394	1	0	1	1	1	0	1	1	1
395	1	1	1	1	1	1	1	1	1
396	1	1	2	1	1	1	0	1	1
397	1	1	1	1	3	1	1	2	1
398	1	1	2	1	2	1	1	1	1
399	1	1	1	1	2	2	0	2	1
400	1	1	2	1	2	1	1	2	0
401	1	1	2	1	2	0	0	2	1
402	1	1	2	1	2	2	2	2	2
403	2	2	2	2	2	1	2	2	2
404	1	1	2	2	2	2	1	3	1
405	2	2	2	2	3	2	1	2	2
406	2	2	3	2	2	2	1	3	1
407	2	2	4	2	3	3	2	2	2
408	2	2	4	3	4	2	1	3	2
409	2	3	3	3	3	3	1	3	2
410	2	2	4	3	4	2	1	3	1
411	2	2	4	3	4	2	1	2	2
412	2	3	4	3	5	2	2	4	2
413	2	2	5	3	4	2	2	3	2
414	3	3	5	3	5	3	2	2	2
415	3	3	6	3	5	2	2	3	2
416	2	2	5	5	6	3	2	3	3
417	3	3	6	4	4	2	2	2	2
418	3	3	3	4	7	2	2	4	3
419	3	3	6	4	6	2	2	5	3
420	3	3	6	4	5	3	2	4	3
421	3	3	6	4	6	3	2	4	3
422	2	3	6	5	6	3	3	3	4
423	3	2	5	4	8	2	2	5	3
424	3	3	5	6	6	3	2	4	3
425	2	3	6	5	6	3	2	4	3
426	3	4	6	5	7	2	2	3	3
427	4	3	7	7	7	3	3	4	3
428	3	4	5	5	8	3	3	6	3
429	3	4	6	5	7	4	2	4	2
430	3	4	8	6	7	3	3	4	3
