Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	A1	A3	A5	A9	A11	C3	E1	E5	E7	E9	E11	G1	G5	G7	G9	G11
380	3	1	0	0	0	1	0	1	1	2	1	0	1	1	1	0
381	3	1	0	0	0	0	1	1	0	2	0	1	1	0	0	1
382	2	1	1	0	1	0	1	1	1	1	0	0	0	1	0	1
383	3	0	0	0	0	1	0	1	0	1	1	0	1	1	1	1
384	3	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1
385	4	1	0	0	0	1	1	1	1	2	0	0	0	1	1	1
386	2	1	1	0	0	0	0	0	1	2	0	1	1	1	0	1
387	2	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1
388	2	1	1	1	0	1	1	1	1	4	1	1	1	1	0	2
389	3	1	1	0	0	1	1	0	0	2	0	0	1	1	0	0
390	6	0	0	0	1	1	0	1	0	2	0	2	1	2	1	1
391	3	1	0	0	1	1	1	1	1	2	1	1	2	1	1	2
392	8	0	1	1	2	0	1	1	1	2	2	1	1	1	1	1
393	7	1	1	0	1	1	1	1	1	3	1	1	1	2	0	1
394	6	1	1	1	1	1	0	1	1	4	1	1	2	0	1	2
395	10	1	1	1	1	1	0	1	1	3	1	2	2	1	1	1
396	9	1	1	1	1	1	1	2	2	2	0	2	2	1	0	1
397	9	2	1	1	1	2	1	1	1	2	2	2	1	1	1	2
398	10	2	1	0	2	2	1	1	1	5	2	2	2	2	0	1
399	8	1	1	0	1	3	2	2	1	3	1	1	2	1	2	1
400	13	1	0	1	1	2	1	2	1	7	1	2	3	2	1	3
401	16	1	1	1	1	2	2	2	1	5	2	2	2	2	1	3
402	14	2	1	1	1	2	2	2	2	5	1	2	2	2	1	4
403	15	2	1	1	1	2	2	2	3	4	2	2	4	2	1	3
404	15	2	2	1	1	2	4	3	3	8	2	3	3	3	2	3
405	20	2	3	0	2	2	2	2	3	4	2	4	3	2	3	4
406	16	2	2	1	1	3	4	3	2	6	2	4	6	3	3	4
407	21	2	1	2	3	3	3	3	3	11	2	3	4	5	1	3
408	20	2	3	1	2	4	3	3	4	8	2	3	6	4	3	4
409	26	3	2	1	1	3	3	4	3	6	3	4	5	4	2	5
410	24	3	3	1	3	3	2	4	3	9	2	5	5	4	2	5
411	24	3	2	2	4	4	3	3	3	8	2	4	4	6	3	4
412	30	3	3	1	2	4	3	2	4	10	3	4	5	6	2	5
413	25	3	4	2	2	5	3	4	4	10	2	6	5	5	2	4
414	30	4	2	1	3	3	2	5	3	11	3	4	5	6	3	5
415	32	3	3	2	3	4	4	4	5	11	4	4	6	6	2	7
416	32	4	2	2	3	5	3	4	4	8	3	5	7	5	3	7
417	34	3	3	2	4	5	3	4	4	12	4	4	5	6	3	6
418	42	4	3	2	3	6	3	4	5	11	3	5	7	5	3	7
419	40	4	4	1	4	5	3	4	5	11	4	4	8	6	3	6
420	45	4	4	3	4	6	4	5	4	13	3	5	7	6	3	6
421	36	3	3	2	4	5	4	3	6	11	4	7	7	6	3	5
422	46	4	3	2	3	6	4	6	3	11	4	6	8	6	4	8
423	47	4	3	2	4	4	4	6	4	10	4	5	7	6	3	9
424	44	5	3	2	4	5	4	5	6	12	4	6	7	5	3	8
425	46	5	4	3	5	5	4	5	5	13	4	4	7	7	4	8
426	48	3	4	2	5	5	4	4	5	13	4	8	6	7	3	7
427	50	4	4	2	6	5	5	6	5	13	3	6	8	6	4	8
428	57	4	3	2	6	6	4	5	5	13	3	6	8	8	4	9
429	52	5	3	1	6	6	4	4	6	14	3	5	8	8	3	8
430	57	4	5	2	5	4	3	6	7	13	3	5	9	7	2	8
431	58	5	4	1	5	6	5	5	5	12	4	6	8	7	4	8
432	61	5	3	2	6	5	5	4	4	14	4	6	8	8	2	10
433	66	4	4	2	7	7	4	6	3	12	3	5	6	8	3	9
434	62	4	4	2	6	5	3	5	6	14	3	6	10	8	4	10
435	60	5	3	2	7	5	4	5	5	14	4	6	9	8	4	11
436	73	4	4	2	7	6	3	6	6	13	4	6	9	8	3	11
437	69	5	4	3	7	6	5	7	5	13	3	5	9	9	3	11
438	74	6	3	1	7	7	4	6	6	12	3	7	8	8	5	11
439	75	4	3	2	8	6	4	6	7	13	2	6	10	9	4	9
440	70	4	4	3	8	6	5	6	6	14	3	6	8	7	3	12
441	73	4	4	2	7	6	4	7	6	13	3	6	7	8	4	11
442	72	4	4	1	7	5	3	6	6	9	3	7	10	9	4	11
443	70	5	3	2	9	6	4	6	5	12	3	6	8	9	4	13
444	78	3	3	1	10	5	4	6	5	10	4	6	8	7	3	14
445	79	4	5	3	10	6	5	7	4	10	3	7	6	8	3	14
446	75	4	4	2	10	5	3	6	5	14	2	6	7	8	3	9
447	75	5	4	2	8	4	5	6	5	12	5	7	5	8	2	12
448	71	3	3	2	11	5	5	7	4	11	3	6	6	6	3	10
449	73	4	3	2	9	3	3	7	5	9	4	7	7	8	4	14
450	70	5	4	2	8	6	3	6	3	13	4	5	7	6	4	13
451	70	3	2	1	9	4	3	6	4	12	3	6	6	8	2	11
452	77	3	3	1	10	5	4	5	4	11	2	5	7	6	2	14
453	71	3	1	1	13	7	3	7	5	11	3	6	7	8	3	13
454	66	3	3	2	13	4	2	6	5	10	3	5	7	8	2	14
455	62	4	4	2	11	5	2	7	5	10	4	5	8	6	1	13
456	70	2	3	1	12	5	2	8	4	11	3	4	6	7	3	14
457	75	3	3	2	10	5	3	8	5	8	2	5	6	7	1	13
458	69	3	4	2	11	5	3	8	4	9	2	6	6	5	3	15
459	70	3	3	1	12	5	5	9	5	6	3	4	8	5	2	15
460	76	5	3	2	15	3	3	8	4	6	5	5	5	8	1	11
461	70	4	2	0	12	5	4	7	6	6	2	6	7	6	2	14
462	73	2	2	2	12	5	3	9	4	8	3	4	6	8	1	14
463	77	3	2	1	13	4	2	10	3	10	4	6	6	7	1	9
464	64	3	3	2	12	5	3	9	3	7	2	4	5	7	2	14
465	69	4	3	2	10	5	4	10	3	11	3	3	6	6	3	12
466	67	3	2	1	12	4	3	9	4	10	3	5	4	6	3	11
467	66	3	3	2	12	5	2	10	4	8	2	4	5	7	2	13
468	71	3	2	1	14	3	3	9	3	9	2	6	6	7	3	13
469	62	4	2	2	15	2	3	9	4	13	2	5	4	7	3	14
470	63	3	3	1	16	6	3	12	4	10	2	4	4	5	1	16
471	72	3	3	0	12	5	3	9	5	10	2	4	6	5	3	12
472	61	3	3	1	13	3	3	13	4	6	2	4	6	6	3	13
473	55	3	3	2	14	3	2	13	3	9	2	4	4	6	3	14
474	58	4	3	0	12	6	2	11	2	11	3	4	5	6	2	12
475	57	3	2	1	11	3	3	12	3	9	3	6	5	5	3	13
476	59	3	2	1	15	3	2	12	3	12	2	5	6	4	2	15
477	61	3	3	0	13	4	3	12	4	5	2	5	4	7	2	14
478	53	3	3	1	13	4	2	9	3	5	2	4	6	6	2	14
479	52	3	3	1	15	4	2	16	4	11	2	5	5	5	1	12
480	61	4	2	1	14	4	2	10	3	7	3	3	5	6	3	12
481	61	3	2	2	15	4	2	14	3	10	2	4	3	6	1	15
482	57	3	2	1	17	4	3	14	4	10	3	3	4	6	2	13
483	52	3	2	1	15	4	2	12	3	11	3	4	6	4	3	13
484	57	3	2	1	13	3	3	13	3	9	2	3	4	5	2	13
485	56	3	3	0	16	3	3	12	2	8	3	3	5	5	2	16
486	59	2	2	1	16	3	2	13	3	6	2	3	6	5	2	14
487	57	3	3	2	16	4	2	15	4	4	2	4	4	5	2	15
488	55	3	2	1	16	3	3	13	3	7	2	3	5	5	2	14
489	59	3	3	1	15	4	2	13	3	8	3	5	4	4	2	13
490	54	3	2	1	14	4	2	15	4	9	2	4	4	3	2	12
491	51	3	3	1	12	4	2	12	2	8	2	2	6	5	1	13
492	55	2	2	1	15	4	2	12	3	6	2	4	4	7	2	17
493	53	3	2	1	13	4	2	14	3	6	1	3	3	5	1	15
494	54	2	2	1	17	2	2	12	3	6	1	3	4	6	1	14
495	53	2	2	2	18	2	3	11	3	8	1	2	3	4	2	12
496	46	3	1	1	17	2	2	14	3	8	1	4	4	4	1	16
497	49	3	2	1	15	4	2	14	4	6	2	4	4	5	1	17
498	49	3	2	1	17	3	1	11	3	6	1	4	4	4	3	14
499	48	3	1	1	16	2	2	15	2	8	2	4	3	4	1	13
500	53	4	1	1	17	4	1	14	2	5	2	4	4	6	1	11
501	51	3	1	1	20	3	1	18	3	6	3	4	4	7	1	13
502	43	2	1	1	15	4	0	15	4	11	1	4	4	5	2	14
503	46	2	1	1	18	3	2	16	3	6	2	2	4	2	1	18
504	47	3	1	1	16	3	1	15	3	5	1	2	5	5	2	17
505	45	2	3	2	18	2	1	14	4	5	1	2	3	5	2	18
506	49	3	2	1	15	3	2	15	3	8	3	4	4	4	2	16
507	48	3	2	2	17	3	3	14	2	6	2	3	4	4	2	17
508	49	1	2	2	18	2	1	15	2	6	2	2	4	4	1	21
509	48	4	1	1	16	4	2	14	2	10	2	3	4	4	2	17
510	55	3	2	1	21	2	1	16	2	7	0	1	4	5	1	19
