Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	A1	A3	A5	C1	C3	C5	C11	E7	G1	G3	G9	G11
380	0	0	0	0	1	0	0	1	0	0	1	0
381	0	0	1	1	1	1	1	1	0	0	0	1
382	0	0	0	1	0	0	1	1	1	0	0	1
383	0	0	0	0	0	0	0	1	0	0	1	0
384	0	0	0	1	0	1	1	1	1	0	1	1
385	0	1	0	0	0	0	0	2	0	0	0	1
386	1	0	1	1	1	1	0	1	1	1	1	1
387	1	0	1	1	1	1	0	0	1	1	0	1
388	0	2	1	1	1	1	1	1	1	0	1	0
389	1	1	1	1	1	1	0	2	1	1	2	1
390	0	1	1	1	1	1	1	1	0	1	3	0
391	0	0	0	1	1	0	1	2	1	2	2	0
392	0	0	0	1	1	1	1	1	2	1	2	1
393	0	1	1	1	1	0	2	1	2	1	1	1
394	0	1	1	0	0	1	1	0	2	0	2	0
395	0	1	0	1	1	1	1	2	3	1	3	1
396	0	1	2	1	1	1	1	3	2	1	3	1
397	1	0	1	1	1	2	2	2	2	1	3	1
398	1	1	1	1	1	1	2	3	2	1	4	1
399	1	0	2	1	2	1	2	3	3	1	3	0
400	1	1	1	1	1	2	3	4	2	1	4	1
401	1	1	2	2	1	2	2	5	3	2	3	1
402	1	1	2	1	1	3	3	5	3	2	4	1
403	1	2	2	2	2	2	3	4	2	2	6	1
404	1	1	2	2	2	3	3	5	4	3	5	1
405	2	1	3	2	1	2	2	6	5	2	6	1
406	2	1	2	3	1	2	2	6	4	2	8	1
407	1	1	2	4	1	3	3	5	4	2	5	1
408	2	1	2	5	2	3	3	6	7	3	8	1
409	2	3	2	4	2	3	5	8	3	3	8	2
410	1	2	1	3	2	4	7	9	7	3	8	2
411	2	2	2	4	1	2	3	8	7	3	11	2
412	2	3	2	4	2	4	3	9	7	2	9	2
413	1	2	1	4	3	4	5	7	7	3	10	2
414	1	2	3	3	3	4	4	9	10	2	11	2
415	2	3	3	4	2	3	4	9	9	4	11	2
416	3	3	3	5	2	5	5	10	8	3	10	3
417	2	2	4	4	3	4	4	9	9	4	13	2
418	2	1	3	4	3	5	5	10	9	4	15	2
419	2	1	3	4	4	5	4	10	9	4	12	2
420	3	2	3	4	4	5	5	10	11	4	12	1
421	3	2	2	4	3	7	5	11	14	5	12	1
422	3	3	4	4	3	5	5	10	11	3	13	2
423	2	2	3	6	3	5	5	13	11	2	11	1
424	3	3	4	5	4	6	6	12	12	3	11	1
425	2	3	5	6	2	6	6	11	11	3	14	2
426	3	2	3	5	3	7	6	11	15	4	13	2
427	3	3	3	5	4	4	6	10	13	5	13	2
428	2	2	4	5	2	8	7	12	14	3	13	2
429	3	2	4	4	3	8	7	13	17	4	16	2
430	3	2	5	5	2	8	6	13	15	5	15	3
431	3	2	3	5	5	6	5	11	13	5	15	2
432	3	3	4	4	4	7	8	12	16	4	14	1
433	3	2	4	5	3	8	5	11	17	4	14	3
434	3	2	3	5	3	8	6	11	18	4	14	3
435	3	3	4	6	3	8	5	12	16	3	16	2
436	4	2	4	6	3	8	6	11	16	4	17	3
437	3	2	4	6	4	9	6	13	18	4	17	2
438	4	2	6	4	4	9	7	11	19	4	13	3
439	4	3	5	8	4	9	8	12	19	4	13	3
440	4	3	5	4	3	11	6	12	17	4	16	3
441	4	2	4	6	3	11	5	14	20	5	16	2
442	4	2	4	7	3	11	7	12	18	4	14	2
443	4	2	4	5	5	10	6	12	20	3	14	3
