Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	A5	A7	A9	A11	C1	C5	C7	C9	E1	E5	E9	E11	G5	G11
380	0	2	0	1	1	0	0	0	1	0	0	0	0	0
381	1	1	0	1	0	1	1	1	1	1	0	1	0	0
382	1	1	0	1	0	0	1	0	0	1	0	0	1	0
383	0	1	0	2	1	0	0	0	1	0	0	0	1	1
384	0	2	0	2	0	0	1	1	0	1	0	0	0	0
385	0	2	0	4	1	1	1	1	0	0	0	0	0	1
386	1	2	1	1	1	0	0	1	0	1	0	1	0	1
387	1	1	1	3	1	1	1	1	1	1	0	1	0	0
388	0	2	0	3	1	1	1	1	1	1	1	1	1	1
389	1	2	0	3	1	1	2	1	0	0	1	1	0	0
390	0	4	0	2	1	0	3	0	1	1	1	0	1	1
391	1	2	1	5	0	1	2	1	1	1	0	0	0	1
392	1	2	0	3	0	1	3	1	1	0	1	0	1	1
393	1	3	1	4	1	0	4	1	0	1	1	1	0	1
394	2	3	2	6	1	1	4	1	2	1	0	2	0	1
395	1	3	1	6	1	1	4	2	1	1	2	1	1	1
396	1	5	1	8	1	2	5	1	1	1	1	1	0	0
397	1	5	1	6	1	1	6	1	1	1	1	1	0	1
398	1	5	2	6	1	1	7	1	0	1	2	1	1	1
399	2	5	1	11	1	2	11	2	2	3	1	2	1	1
400	1	7	2	9	2	1	9	2	2	3	2	2	1	2
401	2	5	2	15	1	2	12	3	1	3	2	2	0	0
402	2	7	2	12	2	1	12	2	2	3	2	2	1	2
403	2	10	2	18	1	2	17	4	2	2	2	2	0	1
404	2	10	2	17	2	2	17	3	2	3	2	3	1	2
405	3	9	3	16	1	2	23	4	2	4	2	2	1	1
406	2	12	3	17	2	2	24	3	2	4	2	2	1	2
407	3	13	3	22	1	2	28	3	2	4	3	3	1	1
408	2	13	4	24	2	1	31	3	3	3	3	2	1	1
409	3	13	4	26	1	3	31	4	4	5	3	2	2	1
410	3	12	3	26	2	3	32	4	4	4	4	3	2	2
411	5	15	4	25	2	3	40	4	3	5	2	3	1	2
412	3	17	5	29	2	3	44	5	3	5	3	3	2	2
413	4	12	4	36	3	2	44	5	3	5	4	3	1	2
414	3	13	4	31	3	3	41	4	3	4	4	3	2	3
415	5	16	5	28	3	3	48	5	4	5	3	4	1	2
416	3	14	5	36	2	5	50	6	4	4	4	2	1	2
417	3	18	6	35	3	5	53	6	3	6	5	4	2	2
418	3	16	4	35	2	3	50	6	3	5	3	4	1	1
419	3	16	6	39	2	4	52	5	4	6	4	4	1	3
420	4	21	6	38	2	3	57	5	4	6	4	4	2	1
421	4	14	6	41	2	4	59	6	4	5	4	3	2	3
422	4	17	6	41	3	4	56	6	4	6	5	3	2	2
