Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	C3	A5	A7	C7	E7	G7	A9	C9	A11	E11
380	0	2	0	2	0	1	0	0	4	1
381	1	0	0	2	0	0	0	0	3	0
382	0	1	1	1	0	1	1	1	3	2
383	0	0	0	2	1	0	1	0	4	1
384	1	1	1	2	0	0	1	1	5	1
385	1	3	0	4	0	0	0	1	4	1
386	1	3	0	0	1	1	0	1	2	2
387	1	1	1	3	0	1	1	1	4	1
388	1	1	1	3	1	1	1	2	3	2
389	1	3	0	2	1	1	1	0	4	1
390	2	2	0	3	1	0	1	1	5	1
391	1	3	1	2	1	1	1	1	5	3
392	2	2	0	4	1	0	1	1	6	1
393	2	3	1	4	2	1	2	3	5	1
394	3	3	1	3	1	2	1	2	5	2
395	1	6	1	4	2	1	2	2	6	2
396	3	4	1	6	1	1	2	2	6	2
397	3	3	2	4	2	1	1	3	4	2
398	2	6	2	6	3	1	1	4	7	3
399	4	7	2	6	2	2	2	4	4	3
400	2	6	2	6	3	3	1	3	5	3
401	3	6	3	7	3	2	2	4	7	3
402	5	8	2	6	4	1	3	6	10	5
403	5	9	3	9	3	3	2	5	10	3
404	4	11	4	12	4	2	2	5	8	5
405	4	12	3	12	4	3	2	6	9	5
406	5	13	4	10	5	3	2	5	10	6
407	6	13	4	10	6	3	2	5	11	6
408	7	16	3	10	7	4	3	7	9	6
409	7	17	4	11	6	4	2	8	12	5
410	7	18	4	11	7	4	2	8	10	5
411	8	17	5	12	7	3	5	10	12	5
412	9	16	4	11	9	4	3	9	10	8
413	10	17	5	13	9	4	4	10	13	7
414	10	20	6	13	9	4	3	12	13	8
415	12	16	7	13	10	5	5	12	11	7
416	13	19	7	15	11	4	4	13	15	8
417	12	16	5	17	12	5	5	12	15	8
418	13	24	8	15	14	5	4	12	12	7
419	13	22	6	18	14	4	4	13	14	10
420	14	19	8	16	15	4	5	15	15	8
421	18	20	6	14	16	6	4	15	11	10
422	17	25	8	13	15	6	7	15	13	8
423	18	23	10	19	15	6	6	15	14	8
424	19	28	9	19	19	6	5	18	15	10
425	20	26	10	20	22	6	6	17	12	11
426	21	24	8	18	21	6	4	18	12	9
427	21	28	10	20	26	7	6	20	15	10
428	26	24	11	19	29	6	5	18	16	9
429	23	24	12	19	30	6	4	19	16	10
430	27	33	12	21	27	6	5	19	16	9
431	28	30	11	22	30	5	4	20	16	10
432	28	30	15	19	34	7	6	21	14	10
433	30	23	12	22	36	8	5	21	16	9
434	31	23	15	19	38	7	4	22	20	11
435	36	27	14	25	39	4	6	22	20	8
436	38	29	14	21	40	6	6	26	20	10
437	39	28	15	23	49	7	6	25	16	9
438	39	25	15	24	42	7	6	27	18	11
439	42	25	17	24	50	6	4	30	18	11
440	42	30	16	22	54	5	5	28	18	14
441	47	28	15	22	57	8	4	28	17	8
442	50	23	14	20	59	7	5	27	16	7
443	53	26	13	21	65	6	6	27	19	12
444	50	27	15	23	63	6	6	30	14	9
445	50	20	18	20	66	7	8	28	16	11
446	61	27	16	17	71	7	5	31	18	9
447	64	20	15	23	73	7	6	34	15	8
448	67	31	15	16	79	5	5	31	18	10
449	68	27	14	19	75	6	4	28	13	8
450	70	26	16	23	80	8	5	32	15	7
451	65	24	13	25	82	6	8	33	17	10
452	75	22	15	16	97	4	5	35	16	8
453	83	19	13	22	95	6	5	39	17	7
454	88	18	16	12	101	5	3	38	13	9
455	90	20	13	19	98	5	4	40	13	8
456	94	23	16	13	99	6	4	39	17	8
457	97	24	17	16	110	7	6	47	15	9
458	111	20	13	15	121	5	3	44	14	9
459	109	18	14	12	118	6	5	44	17	10
460	105	18	14	18	123	4	4	48	19	10
461	116	21	18	20	130	7	5	47	16	10
462	112	20	14	13	128	6	5	50	13	9
463	121	12	13	13	138	3	4	45	13	8
464	129	23	14	16	157	5	5	52	11	8
465	129	21	15	13	157	8	2	54	12	8
466	129	18	14	19	154	6	3	53	13	7
467	137	16	16	16	161	7	4	55	13	7
468	156	21	14	12	162	4	4	54	12	8
469	142	21	14	14	164	4	4	58	12	6
470	153	18	13	15	183	6	4	59	13	7
471	159	14	14	19	182	4	6	60	12	7
472	154	19	14	17	189	5	4	63	13	10
473	160	21	14	21	190	5	4	65	13	9
474	159	15	17	20	204	3	3	70	12	7
475	165	22	11	14	199	5	4	69	12	8
476	175	17	13	14	205	6	5	74	12	7
477	182	20	11	12	225	4	4	72	12	8
478	185	19	14	12	224	6	3	71	11	8
479	186	15	13	16	230	4	5	75	13	8
480	190	18	13	15	234	5	4	79	12	7
481	198	13	16	14	248	4	3	79	12	7
482	205	17	13	10	256	5	5	83	14	8
483	202	18	17	14	256	4	3	90	12	5
484	209	15	16	13	261	5	4	86	9	7
485	217	16	17	12	279	5	4	89	12	6
486	221	17	18	13	287	6	3	88	11	5
487	224	18	14	14	287	2	4	95	12	8
488	229	13	15	11	301	5	3	94	9	6
489	233	15	15	12	303	5	4	100	11	9
490	232	20	14	9	313	4	4	102	11	7
